#Item	Label	Description	Site on enwiki
Q211062	Très Riches Heures du duc de Berry		Très Riches Heures du Duc de Berry
Q212376	Rheingau		Rheingau
Q213638	Kingdom of Cyprus		Kingdom of Cyprus
Q213660	LinkedIn	social networking website for people in professional occupations	LinkedIn
Q215248	Order of the Garter	order of chivalry in England	Order of the Garter
Q215486	Vitruvian Man	drawing by Leonardo da Vinci	Vitruvian Man
Q216786	Champa		Champa
Q216895	Harsha	Indian emperor	Harsha
Q220859	Arnolfini Portrait	painting by Jan van Eyck	Arnolfini Portrait
Q229411	Delhi Sultanate		Delhi Sultanate
Q232806	County of Edessa		County of Edessa
Q234197	Srivijaya		Srivijaya
Q237325	Antigonid dynasty		Antigonid dynasty
Q239502	Kingdom of Galicia–Volhynia	kingdom in Central Europe	Kingdom of Galicia–Volhynia
Q247175	Bishopric of Cammin		Bishopric of Cammin
Q248572	Sultanate of Maguindanao		Sultanate of Maguindanao
Q248786	Bahri dynasty		Bahri dynasty
Q249578	Ghaznavids		Ghaznavids
Q249934	Burji dynasty		Burji dynasty
Q252268	Sundgau		Sundgau
Q252376	François Vase		François Vase
Q252580	Duchy of Modena and Reggio		Duchy of Modena and Reggio
Q255931	Hariphunchai		Hariphunchai
Q256187	Solomonic dynasty	former Imperial House of Ethiopia	Solomonic dynasty
Q264970	Anhalt-Köthen		Anhalt-Köthen
Q267484	Taifa of Málaga		Taifa of Málaga
Q269109	Principality of Ryazan		Principality of Ryazan
Q269342	Virgin of the Rocks	painting by Leonardo da Vinci in two versions	Virgin of the Rocks
Q272033	County of Tripoli		County of Tripoli
Q273025	Gallic Empire		Gallic Empire
Q273874	Buyid dynasty		Buyid dynasty
Q274488	Eastern Wu		Eastern Wu
Q276951	Taifa of Seville		Taifa of Seville
Q280312	Principality of Lüneburg		Principality of Lüneburg
Q282375	Margraviate of Landsberg		Margraviate of Landsberg
Q284667	Electorate of Mainz		Electorate of Mainz
Q285392	Mérode Altarpiece		Mérode Altarpiece
Q289577	Himyarite Kingdom		Himyarite Kingdom
Q291189	Adoration in the Forest		Adoration in the Forest (Lippi)
Q307069	Eastern Wei		Eastern Wei
Q307697	Zayyanid dynasty		Zayyanid dynasty
Q309460	County of Hainaut		County of Hainaut
Q313175	Saxe-Lauenburg		Saxe-Lauenburg
Q314994	Bishopric of Worms		Bishopric of Worms
Q315818	County of Eberstein		County of Eberstein
Q315840	County of Veldenz		County of Veldenz
Q317078	Pskov Republic		Pskov Republic
